"DBID"	"LabID"	"OthLabID"	"OthDateCode"	"Problems"	"CRA"	"Error"	"DC13"	"OthMeasures"	"DateMethod"	"Material"	"Species"	"SiteName"	"SiteContext"	"CulturalPeriod"	"SitePhase"	"SiteType"	"AdminRegion"	"Country"	"Longitude"	"Latitude"	"Comments"	"Source"
416	"DEM-1142"	"OxA-9362"			6890	90			"AMS"	"charcoal"	""	"Makri. Evros"	"Unit 43. phase A"	"Middle Neolithic"	"Makri A"	"settlement"	"Eastern Macedonia and Thrace"	"GR"	"25.748603"	"40.84605"		"Ammermanetal2008"
417	"DEM-1145"				3128	21	"-25"			"charcoal"	""	"Komvos-Apsalos. Aridaia"	"Trench IV North baulk. cremation sample, h:137.55"	"Late Bronze Age"		"settlement"	"Central Macedonia"	"GR"	"22.071629"	"40.892409"	"Sample Date:7/12/2000"	"ChrysostomouGeorgiadou2003"
418	"DEM-1146"				3327	31	"-25"			"charcoal"	""	"Komvos-Apsalos. Aridaia"	"Trench IV. pit north of oven, cremation sample, h:136.35-136.60"	"Late Bronze Age"		"settlement"	"Central Macedonia"	"GR"	"22.071629"	"40.892409"	"Sample Date:21/5/2001"	"ChrysostomouGeorgiadou2003"
419	"DEM-1156"				7247	23				""	""	"Vrysi. Pontokomi"	"Sector Α. Trench N, Square 90, Unit 12, d:2.55"	""		"settlement"	"Western Macedonia"	"GR"	"21.766856"	"40.399087"		"Karamitrou-Mentesidi2014"
420	"DEM-1159"				3355	30	"-25"			"charcoal"	""	"Asomata. Veroia"		""		"settlement"	"Central Macedonia"	"GR"	"22.237421"	"40.484063"		"Koukouvou2003"
421	"DEM-116"			"Environmental?"			"-25"	"CRA:>50001"		"wood?"	""	"Vevi-Mine"		""		"landscape"	"Western Macedonia"	"GR"	"21.578218"	"40.753519"		"Facorellis1996"
422	"DEM-1163"				7255	23	"-25"			"charcoal"	""	"Porta. Ksirolimni Kozani"	"SID:544. Sector Α, Trench 49, Square I, Layer 2152, Unit 10, d:1.31"	""		"settlement"	"Western Macedonia"	"GR"	"21.654753"	"40.269799"		"Karamitrou-Mentesidi2014"
423	"DEM-1164"				6891	25				"charcoal"	""	"Sarakenos cave. Akraifnio"	"Trench B. Layer 3"	""		"cave"	"Central Greece"	"GR"	"23.204497"	"38.45622"		"Facorellis2013;Sampsonetal2011"
424	"DEM-1168"			"DateConflict"	3583	30	"-19.79"			"bone"	"Homo sapiens"	"Xeropigado Koiladas"	"Trench Ζ/Η-33/34. grave ΤΛ68, d:0.48"	"Early Bronze Age (late)-Middle Bronze Age"		"cemetery"	"Western Macedonia"	"GR"	"21.912309"	"40.366582"	"Sample Date:17/6/1998;Man/18–30 yr;Ziota 2007 reports ±20"	"ManiatisZiota2011;Ziota2007"
425	"DEM-1169"			"DateConflict"	3727	33	"-19.7"			"bone"	"Homo sapiens"	"Xeropigado Koiladas"	"Trench Ζ/Η34. grave Τ144, d:0.95"	"Early Bronze Age (late)-Middle Bronze Age"		"cemetery"	"Western Macedonia"	"GR"	"21.912309"	"40.366582"	"Sample Date:20/7/1998;Woman?/18–30 yr;Ziota 2007 reports 3723±25 (DC13:-20);mean DC13 value was used"	"ManiatisZiota2011;Ziota2007"
426	"DEM-117"				278	38	"-25.25"			"wood"	""	"Agriaggelonia. Lefkas"		""		""	"Ionian Islands"	"GR"	"20.644497"	"38.710874"		"Facorellis1996"
427	"DEM-1171"			"DateConflict"	3703	33	"-19.7"			"bone"	"Homo sapiens"	"Xeropigado Koiladas"	"Trench ΙΔ34. grave ΤΛ43, d:0.56"	"Early Bronze Age (late)-Middle Bronze Age"		"cemetery"	"Western Macedonia"	"GR"	"21.912309"	"40.366582"	"Sample Date:7/8/1996;Woman?/30–40 yr;Ziota 2007 reports 3699±25 (DC13:-20);mean DC13 value was used"	"ManiatisZiota2011;Ziota2007"
428	"DEM-1173"		"EUROEVOL-Sample: 1648"		5996	25	"-25"			"charcoal"	""	"Promachonas-Topolnitsa"	"Trench 10. Square ΙSΤ, Unit 10, h:79.30"	""	"Phase II"	"settlement"	"Central Macedonia"	"GR"	"23.325097"	"41.384803"		"GörsdorfBoyadzhiev1996;Koukouli-Chrysanthakietal2007;ManiatisFakorellis2000;Maniatisetal2004;Manningetal2015;ReingruberetalThissen2016;Weninger2017"
429	"DEM-1175"				6063	26	"-25"			"charcoal"	""	"Toumba Kremastis Koiladas"	"aa 2. Trench T25, Unit 13, pit, d:1.60"	""		"settlement"	"Western Macedonia"	"GR"	"21.929796"	"40.357737"	"Sample Date:6/5/1999"	"Maniatis2013"
430	"DEM-1176"				6270	25	"-25"			"charcoal"	""	"Toumba Kremastis Koiladas"	"aa 4. Trench Ι26, Unit37, pit, d:2.50"	""		"settlement"	"Western Macedonia"	"GR"	"21.929796"	"40.357737"	"Sample Date:16/10/1998"	"Maniatis2013"
431	"DEM-1177"				6135	25	"-25"			"charcoal"	""	"Toumba Kremastis Koiladas"	"aa 6. Trench Λ25, Unit 14, pit, d:1.80"	""		"settlement"	"Western Macedonia"	"GR"	"21.929796"	"40.357737"	"Sample Date:28/5/1999"	"Maniatis2013"
432	"DEM-1183"			"DateConflict"	3763	30	"-19.96"			"bone"	"Homo sapiens"	"Xeropigado Koiladas"	"Trench ΙΔ34. grave ΤΛ43 Α, d:0.82"	"Early Bronze Age (late)-Middle Bronze Age"		"cemetery"	"Western Macedonia"	"GR"	"21.912309"	"40.366582"	"Sample Date:13/8/1996;Woman?/30–40 yr;Ziota 2007 reports±20 (DC13:-21)"	"ManiatisZiota2011;Ziota2007"
433	"DEM-1185"		"EUROEVOL-Sample: 1651"		5895	33	"-25"			"charcoal"	""	"Promachonas-Topolnitsa"	"Trench 9. Square ΙSΤ, Unit 10, h:79.31"	""	"Phase II"	"settlement"	"Central Macedonia"	"GR"	"23.325097"	"41.384803"		"GörsdorfBoyadzhiev1996;Koukouli-Chrysanthakietal2007;ManiatisFakorellis2000;Maniatisetal2004;Manningetal2015;ReingruberetalThissen2016;Weninger2017"
434	"DEM-1187"				4867	30	"-25"			"charcoal"	""	"Kokkika Vrachia. Fea Petra"		"Late Bronze Age"		"cemetery"	"Central Macedonia"	"GR"	"23.437317"	"41.264344"		"Maniatis2014"
435	"DEM-1188"				6469	20	"-25"			"charcoal"	""	"Toumba Kremastis Koiladas"	"aa 7. Trench Ν9, Unit 41, East baulk, pit of northern part, d:1.00"	""		"settlement"	"Western Macedonia"	"GR"	"21.929796"	"40.357737"	"Sample Date:6/10/1999"	"Maniatis2013"
436	"DEM-1189"				6184	26	"-25"			"charcoal"	""	"Toumba Kremastis Koiladas"	"aa 9. Trench Χ3, Unit 8, pit of eastern baulk, d:1.50"	""		"settlement"	"Western Macedonia"	"GR"	"21.929796"	"40.357737"	"Sample Date:26/11/1999"	"Maniatis2013"
437	"DEM-1190"				6189	25	"-25"			"charcoal"	""	"Toumba Kremastis Koiladas"	"aa 10. Trench Χ10, Unit 16, pit in southern part, d:1.50"	""		"settlement"	"Western Macedonia"	"GR"	"21.929796"	"40.357737"	"Sample Date:30/6/1999"	"Maniatis2013"
438	"DEM-1191"				6305	25	"-25"			"charcoal"	""	"Toumba Kremastis Koiladas"	"aa 11. Trench Χ13, Unit 7, pit in southwest corner, d:1.30"	""		"settlement"	"Western Macedonia"	"GR"	"21.929796"	"40.357737"	"Sample Date:15/5/1998"	"Maniatis2013"
439	"DEM-120"		"EUROEVOL-Sample: 4956"		8524	57	"-25"			"charcoal"	""	"Theopetra Cave. Kalambaka"	"I10. Eastern region, d:1.04-1.17"	"Mesolithic"		"cave"	"Thessaly"	"GR"	"21.676962"	"39.680503"	"Sample Date:24/8/1990;charcoal from hearth;Perlès 2001 and Facorellis 1996 report different depth 0.75-0.88"	"BramiZanotti2015;Facorellis1996;Facorellis2003;Facorellis2013;Facorellisetal2001;Kyparissi-Apostolika1999;Manningetal2015;Perlès2001;ReingruberThissen2005"
440	"DEM-1202"				6163	20	"-25"			"charcoal"	""	"Toumba Kremastis Koiladas"	"aa 13α/aa 13β/aa 13γ (unified samples). Trench O4, Unit 35 (pit 7, NE pit area, d:2.10),Unit 38 (pit 7, SE pit area, d:2.15),Unit 39(pit 7b, d:2.50)"	""		"settlement"	"Western Macedonia"	"GR"	"21.929796"	"40.357737"	"Sample Date:29/9/1998.1/10/1999,1/10/1999"	"Maniatis2013"
441	"DEM-1203"				6077	25	"-25"			"charcoal"	""	"Toumba Kremastis Koiladas"	"aa 15. Trench Π4, Unit 11, pit from inside of feature, d:1.70"	""		"settlement"	"Western Macedonia"	"GR"	"21.929796"	"40.357737"	"Sample Date:25/8/1999"	"Maniatis2013"
442	"DEM-1204"			"DateConflict"	3714	33	"-19.4"			"bone"	"Homo sapiens"	"Xeropigado Koiladas"	"Trench Η33. grave ΤΛ64, d:0.95"	"Early Bronze Age (late)-Middle Bronze Age"		"cemetery"	"Western Macedonia"	"GR"	"21.912309"	"40.366582"	"Sample Date:6/8/1998;Man/40–50 yr;Ziota 2007 reports 3705±25 (DC13:-20)"	"ManiatisZiota2011;Ziota2007"
443	"DEM-1206"				9233	30				"charcoal"	""	"Sarakenos cave. Akraifnio"	"Trench B. NE corner"	""		"cave"	"Central Greece"	"GR"	"23.204497"	"38.45622"		"Facorellis2013;Sampsonetal2011"
444	"DEM-1207"				8057	36				"charcoal"	""	"Sarakenos cave. Akraifnio"	"Trench B"	""		"cave"	"Central Greece"	"GR"	"23.204497"	"38.45622"		"Facorellis2013;Sampsonetal2011"
445	"DEM-1208"				8073	30				"charcoal"	""	"Sarakenos cave. Akraifnio"	"Trench B"	""		"cave"	"Central Greece"	"GR"	"23.204497"	"38.45622"		"Facorellis2013;Sampsonetal2011"
446	"DEM-1209"				9177	31				"charcoal"	""	"Sarakenos cave. Akraifnio"	"Trench B. NE corner"	""		"cave"	"Central Greece"	"GR"	"23.204497"	"38.45622"		"Facorellis2013;Sampsonetal2011"
447	"DEM-1210"				9230	30				"charcoal"	""	"Sarakenos cave. Akraifnio"	"Trench B. NE corner"	""		"cave"	"Central Greece"	"GR"	"23.204497"	"38.45622"		"Facorellis2013;Sampsonetal2011"
448	"DEM-1211"				7261	20				"charcoal"	""	"Sarakenos cave. Akraifnio"	"Trench B"	""		"cave"	"Central Greece"	"GR"	"23.204497"	"38.45622"		"Facorellis2013;Sampsonetal2011"
449	"DEM-1212"				6096	25	"-25"			"charcoal"	""	"Toumba Kremastis Koiladas"	"aa 16. Trench Ρ15, Unit 6, ditch, eastern part, d:1.30"	""		"settlement"	"Western Macedonia"	"GR"	"21.929796"	"40.357737"	"Sample Date:6/8/1999"	"Maniatis2013"
450	"DEM-1213"				6100	25	"-25"			"charcoal"	""	"Toumba Kremastis Koiladas"	"aa 17. Trench Ρ11, Unit 61, ditch, d:2.10"	""		"settlement"	"Western Macedonia"	"GR"	"21.929796"	"40.357737"	"Sample Date:5/10/1999"	"Maniatis2013"
451	"DEM-1214"			"DateConflict"	3738	60	"-19.81"			"bone"	"Homo sapiens"	"Xeropigado Koiladas"	"Trench Η33. grave ΤΛ64 Α, d:0.40"	"Early Bronze Age (late)-Middle Bronze Age"		"cemetery"	"Western Macedonia"	"GR"	"21.912309"	"40.366582"	"Sample Date:28/7/1998;Man/18–30 yr;Ziota 2007 reports ±58"	"ManiatisZiota2011;Ziota2007"
452	"DEM-1215"			"DateConflict"	3380	38	"-19.7"			"bone"	"Homo sapiens"	"Xeropigado Koiladas"	"Trench ΙΒ/ΙG36. grave Τ82, d:0.55"	"Early Bronze Age (late)-Middle Bronze Age"		"cemetery"	"Western Macedonia"	"GR"	"21.912309"	"40.366582"	"Sample Date:23/8/1996;Man/24–30 yr;Ziota 2007 reports 3374±34 (DC13:-20);mean DC13 value was used"	"ManiatisZiota2011;Ziota2007"
453	"DEM-1218"				6211	25	"-25"			"charcoal"	""	"Toumba Kremastis Koiladas"	"aa 1. Trench H27/T27, Unit 7, pit, d:1.10"	""		"settlement"	"Western Macedonia"	"GR"	"21.929796"	"40.357737"	"Sample Date:20/10/1999"	"Maniatis2013"
454	"DEM-1219"				6232	25	"-25"			"charcoal"	""	"Toumba Kremastis Koiladas"	"aa 12. Trench O4, Unit 17, SE pit area, d:1.70"	""		"settlement"	"Western Macedonia"	"GR"	"21.929796"	"40.357737"	"Sample Date:30/8/1999"	"Maniatis2013"
455	"DEM-122"		"EUROEVOL-Sample: 4975"		6221	38	"-25"			"charcoal"	""	"Theopetra Cave. Kalambaka"	"I10. Northwestern region, d:1.25"	"Neolithic"		"cave"	"Thessaly"	"GR"	"21.676962"	"39.680503"	"Sample Date:27/8/1990"	"Facorellis1996;Facorellis2013;Facorellisetal2001;Manningetal2015"
456	"DEM-1220"				6234	26	"-25"			"charcoal"	""	"Toumba Kremastis Koiladas"	"aa 18. Trench P17, Unit 7, pit, d:1.15"	""		"settlement"	"Western Macedonia"	"GR"	"21.929796"	"40.357737"	"Sample Date:9/8/1999"	"Maniatis2013"
457	"DEM-1221"				6322	26	"-25"			"charcoal"	""	"Toumba Kremastis Koiladas"	"aa 19. Trench P17, Unit 22, pit, d:2.60"	""		"settlement"	"Western Macedonia"	"GR"	"21.929796"	"40.357737"	"Sample Date:22/9/1999"	"Maniatis2013"
458	"DEM-1233"				6143	25	"-25"			"charcoal"	""	"Toumba Kremastis Koiladas"	"aa 5. Trench T25, Unit 23, pit, d:2.40"	""		"settlement"	"Western Macedonia"	"GR"	"21.929796"	"40.357737"	"Sample Date:20/5/1999"	"Maniatis2013"
459	"DEM-1234"				6132	32	"-25"			"charcoal"	""	"Toumba Kremastis Koiladas"	"aa 5. Trench Ι26, Unit 63, East baulk, SW pit part, d:3.00"	""		"settlement"	"Western Macedonia"	"GR"	"21.929796"	"40.357737"	"Sample Date:1/12/1999"	"Maniatis2013"
460	"DEM-1235"				6087	47	"-25"			"charcoal"	""	"Toumba Kremastis Koiladas"	"aa 8. Trench N27, Unit 25, north baulk, pit in eastern part, d:3.00"	""		"settlement"	"Western Macedonia"	"GR"	"21.929796"	"40.357737"	"Sample Date:8/10/1999"	"Maniatis2013"
461	"DEM-1236"				6203	20	"-25"			"charcoal"	""	"Toumba Kremastis Koiladas"	"aa 14. Trench O30, Unit 3, pit, content of storage vessel, d:1.15"	""		"settlement"	"Western Macedonia"	"GR"	"21.929796"	"40.357737"	"Sample Date:17/9/1999"	"Maniatis2013"
462	"DEM-124"		"EUROEVOL-Sample: 4981"		714	32	"-25"			"charcoal"	""	"Theopetra Cave. Kalambaka"	"Z11. d:1.50-1.76"	"post AD 1000"		"cave"	"Thessaly"	"GR"	"21.676962"	"39.680503"	"Sample Date:5-10/9/1990"	"Facorellis1996;Facorellis2013;Facorellisetal2001;Manningetal2015"
463	"DEM-1240"			"DateConflict"	3684	33	"-19.7"			"bone"	"Homo sapiens"	"Xeropigado Koiladas"	"Trench ΙΒ/ΙG36. grave Τ58, d:0.82"	"Early Bronze Age (late)-Middle Bronze Age"		"cemetery"	"Western Macedonia"	"GR"	"21.912309"	"40.366582"	"Sample Date:11/9/1996;Woman?/20–24 yr;Ziota 2007 reports 3681±25 (DC13:-20);mean DC13 value was used"	"ManiatisZiota2011;Ziota2007"
464	"DEM-125"		"EUROEVOL-Sample: 4953"		8673	76	"-25"			"charcoal"	""	"Theopetra Cave. Kalambaka"	"I10. Western region, d:1.56"	"Mesolithic"		"cave"	"Thessaly"	"GR"	"21.676962"	"39.680503"	"Sample Date:28/8/1990;charcoal from hearth;Perlès 2001 report different depth 1.27"	"BramiZanotti2015;Facorellis1996;Facorellis2003;Facorellis2013;Facorellisetal2001;Kyparissi-Apostolika1999;Manningetal2015;Perlès2001;ReingruberThissen2005"
465	"DEM-1250"		"EUROEVOL-Sample: 1644"		6068	40	"-25"			"charcoal"	""	"Promachonas-Topolnitsa"	"Trench 8. Square ΙSΤ, Unit 8, h:79.65"	""	"Phase II"	"settlement"	"Central Macedonia"	"GR"	"23.325097"	"41.384803"		"GörsdorfBoyadzhiev1996;Koukouli-Chrysanthakietal2007;ManiatisFakorellis2000;Maniatisetal2004;Manningetal2015;ReingruberetalThissen2016;Weninger2017"
466	"DEM-1254"		"EUROEVOL-Sample: 1645"		6038	40	"-25"			"charcoal"	""	"Promachonas-Topolnitsa"	"Trench 12. Square ΙSΤ, Unit 11, h:78.99"	""	"Phase II"	"settlement"	"Central Macedonia"	"GR"	"23.325097"	"41.384803"		"GörsdorfBoyadzhiev1996;Koukouli-Chrysanthakietal2007;ManiatisFakorellis2000;Maniatisetal2004;Manningetal2015;ReingruberetalThissen2016;Weninger2017"
467	"DEM-1259"			"DateConflict"	3562	30	"-19.86"			"bone"	"Homo sapiens"	"Xeropigado Koiladas"	"Trench Η32/33. grave Τ114, d:0.24"	"Early Bronze Age (late)-Middle Bronze Age"		"cemetery"	"Western Macedonia"	"GR"	"21.912309"	"40.366582"	"Sample Date:20/9/1996;Woman?/30–40 yr;Ziota 2007 reports ±20"	"ManiatisZiota2011;Weninger2017;Ziota2007"
468	"DEM-126"				3526	41	"-25"			"charcoal"	""	"Trianda. Rhodes"		"Late Minoan"		"settlement"	"South Aegean"	"GR"	"28.154068"	"36.414259"	"SID(?):11"	"Facorellis1996"
469	"DEM-128"				1322	20	"-24.13"			"wood"	""	"Arapis"	"No 1 (40-50)"	""		""	"Thessaly"	"GR"	"21.864491"	"39.189848"		"Facorellis1996"
470	"DEM-1284"				3147	35	"-25"		"GPC/LSC"	"charcoal"	""	"Thessaloniki Toumba"	"SID:22/02. Unit 241110, Phase 4B, space A10, d:4.34"	"Late Bronze Age"	"Phase 4B"	"settlement"	"Central Macedonia"	"GR"	"22.976037"	"40.614113"		"Andreou2009;Newtonetal2005;ThessalonikiToumbaExcavation"
471	"DEM-1285"				3036	25			"GPC/LSC"	"charcoal"	""	"Thessaloniki Toumba"	"SID:27/02. Unit 261212, Phase 4A, space B1, d:3.75"	"Late Bronze Age"	"Phase 4A"	"settlement"	"Central Macedonia"	"GR"	"22.976037"	"40.614113"		"Andreou2009;Newtonetal2005;ThessalonikiToumbaExcavation"
472	"DEM-1288"				1878	134	"-24.53"			"charcoal"	""	"Aghios Ioannis. Thassos"	"Exc.Unit 2. Section II-Well, Layer 2 (charcoal from inside well), d:1.56-0.19"	"Roman"		"settlement"	"Eastern Macedonia and Thrace"	"GR"	"24.757957"	"40.619667"	"error (±2.5)"	"ManiatisPapadopoulos2011"
473	"DEM-1289"				3096	32	"-25"			"charcoal"	""	"Archontiko. Yannitsa"	"SID:69. Trench G', Unit 3070, d:65.52"	""		"settlement"	"Central Macedonia"	"GR"	"22.461524"	"40.782086"	"Sample Date:2002"	"NCSRDemokritos"
474	"DEM-1290"				3218	79	"-25"			"charcoal"	""	"Archontiko. Yannitsa"	"SID:84. Trench G', Unit 3073, d:65.42"	""		"settlement"	"Central Macedonia"	"GR"	"22.461524"	"40.782086"	"Sample Date:2002"	"NCSRDemokritos"
475	"DEM-1293"			"DateConflict"	3519	30	"-20.18"			"bone"	"Homo sapiens"	"Xeropigado Koiladas"	"Trench Η32/33. grave Τ116, d:0.47"	"Early Bronze Age (late)-Middle Bronze Age"		"cemetery"	"Western Macedonia"	"GR"	"21.912309"	"40.366582"	"Sample Date:26/9/1996;Woman?/28–40 yr;Ziota 2007 reports 3513±25"	"ManiatisZiota2011;Ziota2007"
476	"DEM-1294"				7261	28	"-25"			"charcoal"	""	"Porta. Ksirolimni Kozani"	"SID:586. Sector Α, Trench 27, Square II, Layer 1310, Unit 9, d:0.90"	"Early Neolithic"		"settlement"	"Western Macedonia"	"GR"	"21.654753"	"40.269799"		"Karamitrou-Mentesidi2014"
477	"DEM-1296"				3968	40				"charcoal"	""	"Palamari. Skyros"		"Early Bronze Age II-III (early)"		"settlement"	"Central Greece"	"GR"	"24.506314"	"38.965359"		"ArvanitiManiatis2018;ManiatisArvaniti2015"
478	"DEM-1299"				7139	35				"charcoal"	""	"Theopetra Cave. Kalambaka"	"I9. Pass 2, d:0.07-0.15"	""		"cave"	"Thessaly"	"GR"	"21.676962"	"39.680503"	"Sample Date:18/7/2000"	"Facorellis2013"
479	"DEM-1300"				6473	30				"charcoal"	""	"Theopetra Cave. Kalambaka"	"I9. Pass 4, d:0.25-0.34"	""		"cave"	"Thessaly"	"GR"	"21.676962"	"39.680503"	"Sample Date:19/7/2000"	"Facorellis2013"
480	"DEM-1301"				7056	34				"charcoal"	""	"Theopetra Cave. Kalambaka"	"Ι9. Pass 5, Southern region, d:0.34-0.44"	""		"cave"	"Thessaly"	"GR"	"21.676962"	"39.680503"	"Sample Date:19-20/7/2000"	"Facorellis2013"
481	"DEM-1311"				3307	25	"-24"			"charcoal"	""	"Akrotiri. Thera"	"Shaft 1. M2/1N002, d:+22.16"	"Late Cycladic I"		"settlement"	"South Aegean"	"GR"	"25.402784"	"36.350315"	"Charcoal from an open place with intense burning activity. which was covered and mixed with the first fine pumice explosion layer;Volcanic destruction"	"Maniatis2012"
482	"DEM-1312"				3664	25	"-24"			"charcoal"	""	"Akrotiri. Thera"	"Shaft 42. M3/42N011, d:+19.05"	"Late Cycladic I"		"settlement"	"South Aegean"	"GR"	"25.402784"	"36.350315"	"Charcoal from cavity carved in the natural rock below the foundations of Xeste-4;Unknown archaeological context due to lack of evidence but certainly before the LC I period"	"Maniatis2012"
483	"DEM-1313"				3396	25	"-24"			"charcoal"	""	"Akrotiri. Thera"	"Shaft 43. M20/43N045, d:+18.28"	"Late Cycladic I"		"settlement"	"South Aegean"	"GR"	"25.402784"	"36.350315"	"Charcoal under the earth floor of ground floor Xeste-4;Could belong to the latest eruption phase but could also be older"	"Maniatis2012"
484	"DEM-1314"				3467	25	"-24"			"charcoal"	""	"Akrotiri. Thera"	"Shaft 43. M18/43N041, d:+19.68"	"Late Cycladic I"		"settlement"	"South Aegean"	"GR"	"25.402784"	"36.350315"	"Charcoal under the compact earth floor of ground floor. Xeste-4;Could belong to the latest eruption phase but could also be older"	"Maniatis2012"
485	"DEM-1318"				6807	25	"-25"			"charcoal"	""	"Grammi-Apsalos. Aridaia"	"SID:40. Trench ΙΑ, Unit 40, Λ30, h:127,40"	""		"settlement"	"Central Macedonia"	"GR"	"22.066969"	"40.895645"	"Sample Date:26/6/2001"	"NCSRDemokritos"
486	"DEM-1319"				6840	25	"-25"			"charcoal"	""	"Grammi-Apsalos. Aridaia"	"SID:20. Trench ΧΙΙΙΑ, Unit 33, h:130,17"	""		"settlement"	"Central Macedonia"	"GR"	"22.066969"	"40.895645"	"Sample Date:24/5/2001"	"NCSRDemokritos"
487	"DEM-1320"				7092	25	"-25"			"charcoal"	""	"Grammi-Apsalos. Aridaia"	"SID:28. Trench ΧΧΙΒ North baulk -XΧΙΔ, Unit 3154ω, h:126,63"	""		"settlement"	"Central Macedonia"	"GR"	"22.066969"	"40.895645"	"Sample Date:12/7/2001"	"NCSRDemokritos"
488	"DEM-1327"			"DateConflict"	3590	30	"-19.7"			"bone"	"Homo sapiens"	"Xeropigado Koiladas"	"Trench Ι35. grave Τ29, d:0.26"	"Early Bronze Age (late)-Middle Bronze Age"		"cemetery"	"Western Macedonia"	"GR"	"21.912309"	"40.366582"	"Sample Date:30/8/1996;Man/24–32 yr;Ziota 2007 reports ±20"	"ManiatisZiota2011;Ziota2007"
489	"DEM-1328"			"DateConflict"	3605	80	"-19.22"			"bone"	"Homo sapiens"	"Xeropigado Koiladas"	"Trench Ι35. grave Τ29 Α, d:0.87"	"Early Bronze Age (late)-Middle Bronze Age"		"cemetery"	"Western Macedonia"	"GR"	"21.912309"	"40.366582"	"Sample Date:20/9/1996;Man/18–30 yr;Ziota 2007 reports 3475±75"	"ManiatisZiota2011;Ziota2007"
490	"DEM-133"				39274	4771	"-25"			"charcoal"	""	"Theopetra Cave. Kalambaka"	"Z8-Z9. Layer II4, d:4.39-4.49"	"Middle Palaeolithic"		"cave"	"Thessaly"	"GR"	"21.676962"	"39.680503"	"Sample Date:24/8/1990;charcoal from hearth;ABA pretreatment"	"Facorellis1996;Facorellis2013;FacorellisManiatis1999;Facorellisetal2001;Facorellisetal2013"
491	"DEM-1335"				7136	30	"-25"			"charcoal"	""	"Varemenoi-Goulon"	"Trench H6"	"Early Neolithic"		"settlement"	"Western Macedonia"	"GR"	"21.900587"	"40.15207"		"Chondrogianni-Metoki2009"
492	"DEM-1336"				7503	35				""	""	"Varemenoi-Goulon"		"Early Neolithic"		"settlement"	"Western Macedonia"	"GR"	"21.900587"	"40.15207"		"Chondrogianni-Metoki2002;Maniatis2014;Maniatisetal2011"
493	"DEM-134"				36827	845	"-25"			"charcoal"	""	"Theopetra Cave. Kalambaka"	"Z8-Z9. Layer II4, d:4.55"	"Middle Palaeolithic"		"cave"	"Thessaly"	"GR"	"21.676962"	"39.680503"	"Sample Date:8/1990;charcoal from hearth;ABA pretreatment"	"Facorellis1996;Facorellis2013;FacorellisManiatis1999;Facorellisetal2001;Facorellisetal2013"
494	"DEM-1345"				3441	25	"-25"			"charcoal"	""	"Akrotiri. Thera"	"Shaft 43. M21/43N047, d:+19.38"	"Late Cycladic I"		"settlement"	"South Aegean"	"GR"	"25.402784"	"36.350315"	"Charcoal from window sill. south wall, ground floor, room 14, Xeste 4;Period of use of the building;Together with pumice. Volcanic eruption?"	"Maniatis2012"
495	"DEM-135"			"Provenance"	277	25	"-25"			"wood"	""	"Panagia Odigitria (religious painting). Xenophontos Monastery, Mount Athos"		""		"object"	"Central Macedonia"	"GR"	"24.20646"	"40.309453"	"religious painting"	"Facorellis1996"
496	"DEM-136"		"EUROEVOL-Sample: 1641"		6163	36	"-25"			"charcoal"	""	"Skotini cave. Euboea"	"Trench C. Layer 28, Square 3-4, d:3.70"	"Late Neolithic"		"cave"	"Central Greece"	"GR"	"23.982842"	"38.501575"	"Sample Date:8/1990;Thick hearth deposit;reported as DEM-170-136 by Hinz et al 2012. Weninger 2017 and Reingruber and Thissen 2016"	"Facorellis1996;Facorellis2013;Manningetal2015;ReingruberThissen2016;Sampson1993;Sampsonetal1999;ShennanSteele2001;Weninger2017"
497	"DEM-1365"				7269	40				""	""	"Lefkopetra"		"Early Neolithic"		"open-air site"	"Central Macedonia"	"GR"	"22.175805"	"40.41971"		"Maniatis2014;Maniatisetal2011"
498	"DEM-1367"				2445	25	"-17.98"			"bone"	"Equus"	"Sindos"	"Block-55. T1, Horse 1, Sind IZ', d:10.00"	"Archaic"		"cemetery"	"Central Macedonia"	"GR"	"22.806817"	"40.696056"	"Sample Date:8/2003"	"AntikasWynn-Antikas2006"
499	"DEM-1368"				1304	25	"-15.97"			"bone"	"Homo sapiens"	"Aggelochori. Imathia"	"Β. Unit 02003, d:1.00"	"Byzantine"		"settlement"	"Central Macedonia"	"GR"	"22.214118"	"40.676471"	"Woman burial"	"Maniatis2010"
500	"DEM-137"				6247	49	"-25"			"charcoal"	""	"Skotini cave. Euboea"	"Trench C. Layer 30, Square 4, d:3.90-4.00"	"Late Neolithic"		"cave"	"Central Greece"	"GR"	"23.982842"	"38.501575"	"Sample Date:8/1990;Thick hearth deposit;reported as DEM-171-137 by Pinhasi et al 2005. Weninger 2017 and Reingruber and Thissen 2016"	"Facorellis1996;Facorellis2013;Pinhasietal2005;ReingruberThissen2016;Sampson1993;Sampsonetal1999;ShennanSteele2001;Weninger2017"
501	"DEM-138"		"RADON-sample: 10536"		5817	37	"-25"			"charcoal"	""	"Skotini cave. Euboea"	"Trench A. Layer 4-5, Square 8, d:0.50-0.65"	"Late Neolithic"		"cave"	"Central Greece"	"GR"	"23.982842"	"38.501575"	"Sample Date:1986;Disturbed burial;reported as DEM-172-138 by Hinz et al 2012. Weninger 2017 and Reingruber and Thissen 2016"	"Facorellis1996;Facorellis2013;Hinzetal2012;ReingruberThissen2016;Sampson1993;Sampsonetal1999;ShennanSteele2001;Weninger2017"
