,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radiocarbon Date Upload Template - Mandatory Fields in Green. See Sheet 2 for instructions on using this template.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Identifying Fields ,,,,,Locational Data,,,,,Provenance,,,,,,Age,,,,,,Provenience,,,,,,Additional Information,,
Lab Number,Field Number,Material Dated,Taxa Dated,Type of Date,Locality,Latitude,Longitude,Map Sheet,Elevation     (m ASL),Submitter,Date Submitted,Collector,Date Collected,Updater,Date Updated,Measured Age,MA Sigma,Normalized Age,NA Sigma,Delta 13C (per mil),Delta 13 C Source,Significance,Site Identifier,Site Name,Stratigraphic Component,Context,Associated Taxa,Additional Information,Comments,References
SRR-1613,,bulk sediment,,Geological,,-2.666751,29.083309,,1950,,,,,Colin Courtney Mustaphi,31/08/2015,,,22120,250,-27,Estimated,,Kamiranzovu Swamp,,,,,,,"Jolly, D., Taylor, D., Marchant, R., Hamilton, A., Bonnefille, R., Buchet, G., & Riollet, G. (1997). Vegetation dynamics in central Africa since 18,000 yr BP: pollen records from the interlacustrine highlands of Burundi, Rwanda and western Uganda. Journal of Biogeography, 24(4), 492-512."
SRR-293,,bulk sediment,,Geological,,-1.120967,29.842314,,1830,,,,,Colin Courtney Mustaphi,31/08/2015,,,0,0,-27,Estimated,,Ahakagyezi Swamp,,,,,,modern,"Jolly, D., Taylor, D., Marchant, R., Hamilton, A., Bonnefille, R., Buchet, G., & Riollet, G. (1997). Vegetation dynamics in central Africa since 18,000 yr BP: pollen records from the interlacustrine highlands of Burundi, Rwanda and western Uganda. Journal of Biogeography, 24(4), 492-512."
SRR-2935,,bulk sediment,,Geological,,-1.120967,29.842314,,1830,,,,,Colin Courtney Mustaphi,31/08/2015,,,1080,70,-27,Estimated,,Ahakagyezi Swamp,,,,,,,"Jolly, D., Taylor, D., Marchant, R., Hamilton, A., Bonnefille, R., Buchet, G., & Riollet, G. (1997). Vegetation dynamics in central Africa since 18,000 yr BP: pollen records from the interlacustrine highlands of Burundi, Rwanda and western Uganda. Journal of Biogeography, 24(4), 492-512."
SRR-2936,,bulk sediment,,Geological,,-1.120967,29.842314,,1830,,,,,Colin Courtney Mustaphi,31/08/2015,,,3070,70,-27,Estimated,,Ahakagyezi Swamp,,,,,,,"Jolly, D., Taylor, D., Marchant, R., Hamilton, A., Bonnefille, R., Buchet, G., & Riollet, G. (1997). Vegetation dynamics in central Africa since 18,000 yr BP: pollen records from the interlacustrine highlands of Burundi, Rwanda and western Uganda. Journal of Biogeography, 24(4), 492-512."
SRR-2937,,bulk sediment,,Geological,,-1.120967,29.842314,,1830,,,,,Colin Courtney Mustaphi,31/08/2015,,,3360,70,-27,Estimated,,Ahakagyezi Swamp,,,,,,,"Jolly, D., Taylor, D., Marchant, R., Hamilton, A., Bonnefille, R., Buchet, G., & Riollet, G. (1997). Vegetation dynamics in central Africa since 18,000 yr BP: pollen records from the interlacustrine highlands of Burundi, Rwanda and western Uganda. Journal of Biogeography, 24(4), 492-512."
SRR-2938,,bulk sediment,,Geological,,-1.120967,29.842314,,1830,,,,,Colin Courtney Mustaphi,31/08/2015,,,5180,70,-27,Estimated,,Ahakagyezi Swamp,,,,,,,"Jolly, D., Taylor, D., Marchant, R., Hamilton, A., Bonnefille, R., Buchet, G., & Riollet, G. (1997). Vegetation dynamics in central Africa since 18,000 yr BP: pollen records from the interlacustrine highlands of Burundi, Rwanda and western Uganda. Journal of Biogeography, 24(4), 492-512."
SRR-2940,,bulk sediment,,Geological,,-1.120967,29.842314,,1830,,,,,Colin Courtney Mustaphi,31/08/2015,,,5870,90,-27,Estimated,,Ahakagyezi Swamp,,,,,,,"Jolly, D., Taylor, D., Marchant, R., Hamilton, A., Bonnefille, R., Buchet, G., & Riollet, G. (1997). Vegetation dynamics in central Africa since 18,000 yr BP: pollen records from the interlacustrine highlands of Burundi, Rwanda and western Uganda. Journal of Biogeography, 24(4), 492-512."
SRR-2941,,bulk sediment,,Geological,,-1.120967,29.842314,,1830,,,,,Colin Courtney Mustaphi,31/08/2015,,,6580,60,-27,Estimated,,Ahakagyezi Swamp,,,,,,,"Jolly, D., Taylor, D., Marchant, R., Hamilton, A., Bonnefille, R., Buchet, G., & Riollet, G. (1997). Vegetation dynamics in central Africa since 18,000 yr BP: pollen records from the interlacustrine highlands of Burundi, Rwanda and western Uganda. Journal of Biogeography, 24(4), 492-512."
SRR-2942,,bulk sediment,,Geological,,-1.120967,29.842314,,1830,,,,,Colin Courtney Mustaphi,31/08/2015,,,11070,80,-27,Estimated,,Ahakagyezi Swamp,,,,,,,"Jolly, D., Taylor, D., Marchant, R., Hamilton, A., Bonnefille, R., Buchet, G., & Riollet, G. (1997). Vegetation dynamics in central Africa since 18,000 yr BP: pollen records from the interlacustrine highlands of Burundi, Rwanda and western Uganda. Journal of Biogeography, 24(4), 492-512."
SRR-2943,,bulk sediment,,Geological,,-1.120967,29.842314,,1830,,,,,Colin Courtney Mustaphi,31/08/2015,,,12010,90,-27,Estimated,,Ahakagyezi Swamp,,,,,,,"Jolly, D., Taylor, D., Marchant, R., Hamilton, A., Bonnefille, R., Buchet, G., & Riollet, G. (1997). Vegetation dynamics in central Africa since 18,000 yr BP: pollen records from the interlacustrine highlands of Burundi, Rwanda and western Uganda. Journal of Biogeography, 24(4), 492-512."
SRR-2943,,bulk sediment,,Geological,,-1.120967,29.842314,,1830,,,,,Colin Courtney Mustaphi,31/08/2015,,,14760,100,-27,Estimated,,Ahakagyezi Swamp,,,,,,,"Jolly, D., Taylor, D., Marchant, R., Hamilton, A., Bonnefille, R., Buchet, G., & Riollet, G. (1997). Vegetation dynamics in central Africa since 18,000 yr BP: pollen records from the interlacustrine highlands of Burundi, Rwanda and western Uganda. Journal of Biogeography, 24(4), 492-512."
SRR-2944,,bulk sediment,,Geological,,-1.120967,29.842314,,1830,,,,,Colin Courtney Mustaphi,31/08/2015,,,15640,120,-27,Estimated,,Ahakagyezi Swamp,,,,,,,"Jolly, D., Taylor, D., Marchant, R., Hamilton, A., Bonnefille, R., Buchet, G., & Riollet, G. (1997). Vegetation dynamics in central Africa since 18,000 yr BP: pollen records from the interlacustrine highlands of Burundi, Rwanda and western Uganda. Journal of Biogeography, 24(4), 492-512."
SRR-2945,,bulk sediment,,Geological,,-1.120967,29.842314,,1830,,,,,Colin Courtney Mustaphi,31/08/2015,,,18770,120,-27,Estimated,,Ahakagyezi Swamp,,,,,,,"Jolly, D., Taylor, D., Marchant, R., Hamilton, A., Bonnefille, R., Buchet, G., & Riollet, G. (1997). Vegetation dynamics in central Africa since 18,000 yr BP: pollen records from the interlacustrine highlands of Burundi, Rwanda and western Uganda. Journal of Biogeography, 24(4), 492-512."
Beta-60065,,bulk sediment,,Geological,,-1.079253,29.755472,,2100,,,,,Colin Courtney Mustaphi,31/08/2015,,,12930,100,-27,Estimated,,Mubwindi Swamp (Mb3),,,,,,,"Jolly, D., Taylor, D., Marchant, R., Hamilton, A., Bonnefille, R., Buchet, G., & Riollet, G. (1997). Vegetation dynamics in central Africa since 18,000 yr BP: pollen records from the interlacustrine highlands of Burundi, Rwanda and western Uganda. Journal of Biogeography, 24(4), 492-512."
AA-12396,,bulk sediment,,Geological,,-1.079253,29.755472,,2100,,,,,Colin Courtney Mustaphi,31/08/2015,,,190,55,-27,Estimated,,Mubwindi Swamp (Mb6),,,,,,,"Jolly, D., Taylor, D., Marchant, R., Hamilton, A., Bonnefille, R., Buchet, G., & Riollet, G. (1997). Vegetation dynamics in central Africa since 18,000 yr BP: pollen records from the interlacustrine highlands of Burundi, Rwanda and western Uganda. Journal of Biogeography, 24(4), 492-512."
AA-12397,,bulk sediment,,Geological,,-1.079253,29.755472,,2100,,,,,Colin Courtney Mustaphi,31/08/2015,,,645,55,-27,Estimated,,Mubwindi Swamp (Mb6),,,,,,,"Jolly, D., Taylor, D., Marchant, R., Hamilton, A., Bonnefille, R., Buchet, G., & Riollet, G. (1997). Vegetation dynamics in central Africa since 18,000 yr BP: pollen records from the interlacustrine highlands of Burundi, Rwanda and western Uganda. Journal of Biogeography, 24(4), 492-512."
AA-12398,,bulk sediment,,Geological,,-1.079253,29.755472,,2100,,,,,Colin Courtney Mustaphi,31/08/2015,,,1970,55,-27,Estimated,,Mubwindi Swamp (Mb6),,,,,,,"Jolly, D., Taylor, D., Marchant, R., Hamilton, A., Bonnefille, R., Buchet, G., & Riollet, G. (1997). Vegetation dynamics in central Africa since 18,000 yr BP: pollen records from the interlacustrine highlands of Burundi, Rwanda and western Uganda. Journal of Biogeography, 24(4), 492-512."
AA-13909,,bulk sediment,,Geological,,-1.079253,29.755472,,2100,,,,,Colin Courtney Mustaphi,31/08/2015,,,2110,55,-27,Estimated,,Mubwindi Swamp (Mb6),,,,,,,"Jolly, D., Taylor, D., Marchant, R., Hamilton, A., Bonnefille, R., Buchet, G., & Riollet, G. (1997). Vegetation dynamics in central Africa since 18,000 yr BP: pollen records from the interlacustrine highlands of Burundi, Rwanda and western Uganda. Journal of Biogeography, 24(4), 492-512."
Pta-3523,,bulk sediment,,Geological,,-1.281767,29.811139,,2260,,,,,Colin Courtney Mustaphi,31/08/2015,,,0,0,-15.2,Measured,,Muchoya Swamp,MC2,,,,,modern,"Jolly, D., Taylor, D., Marchant, R., Hamilton, A., Bonnefille, R., Buchet, G., & Riollet, G. (1997). Vegetation dynamics in central Africa since 18,000 yr BP: pollen records from the interlacustrine highlands of Burundi, Rwanda and western Uganda. Journal of Biogeography, 24(4), 492-512."
SRR-2959,,bulk sediment,,Geological,,-1.281767,29.811139,,2260,,,,,Colin Courtney Mustaphi,31/08/2015,,,1570,50,-24.6,Measured,,Muchoya Swamp,MC2,,,,,,"Jolly, D., Taylor, D., Marchant, R., Hamilton, A., Bonnefille, R., Buchet, G., & Riollet, G. (1997). Vegetation dynamics in central Africa since 18,000 yr BP: pollen records from the interlacustrine highlands of Burundi, Rwanda and western Uganda. Journal of Biogeography, 24(4), 492-512."
Pta-3520,,bulk sediment,,Geological,,-1.281767,29.811139,,2260,,,,,Colin Courtney Mustaphi,31/08/2015,,,3020,50,-25.4,Measured,,Muchoya Swamp,MC2,,,,,,"Jolly, D., Taylor, D., Marchant, R., Hamilton, A., Bonnefille, R., Buchet, G., & Riollet, G. (1997). Vegetation dynamics in central Africa since 18,000 yr BP: pollen records from the interlacustrine highlands of Burundi, Rwanda and western Uganda. Journal of Biogeography, 24(4), 492-512."
SRR-2960,,bulk sediment,,Geological,,-1.281767,29.811139,,2260,,,,,Colin Courtney Mustaphi,31/08/2015,,,4780,70,-28.1,Measured,,Muchoya Swamp,MC2,,,,,,"Jolly, D., Taylor, D., Marchant, R., Hamilton, A., Bonnefille, R., Buchet, G., & Riollet, G. (1997). Vegetation dynamics in central Africa since 18,000 yr BP: pollen records from the interlacustrine highlands of Burundi, Rwanda and western Uganda. Journal of Biogeography, 24(4), 492-512."
Pta-3801,,bulk sediment,,Geological,,-1.281767,29.811139,,2260,,,,,Colin Courtney Mustaphi,31/08/2015,,,5530,70,-25.7,Measured,,Muchoya Swamp,MC2,,,,,,"Jolly, D., Taylor, D., Marchant, R., Hamilton, A., Bonnefille, R., Buchet, G., & Riollet, G. (1997). Vegetation dynamics in central Africa since 18,000 yr BP: pollen records from the interlacustrine highlands of Burundi, Rwanda and western Uganda. Journal of Biogeography, 24(4), 492-512."
Pta-3802,,bulk sediment,,Geological,,-1.281767,29.811139,,2260,,,,,Colin Courtney Mustaphi,31/08/2015,,,5440,50,-25.7,Measured,,Muchoya Swamp,MC2,,,,,,"Jolly, D., Taylor, D., Marchant, R., Hamilton, A., Bonnefille, R., Buchet, G., & Riollet, G. (1997). Vegetation dynamics in central Africa since 18,000 yr BP: pollen records from the interlacustrine highlands of Burundi, Rwanda and western Uganda. Journal of Biogeography, 24(4), 492-512."
SRR-2961,,bulk sediment,,Geological,,-1.281767,29.811139,,2260,,,,,Colin Courtney Mustaphi,31/08/2015,,,7460,60,-27,Measured,,Muchoya Swamp,MC2,,,,,,"Jolly, D., Taylor, D., Marchant, R., Hamilton, A., Bonnefille, R., Buchet, G., & Riollet, G. (1997). Vegetation dynamics in central Africa since 18,000 yr BP: pollen records from the interlacustrine highlands of Burundi, Rwanda and western Uganda. Journal of Biogeography, 24(4), 492-512."
Pta-4200,,bulk sediment,,Geological,,-1.281767,29.811139,,2260,,,,,Colin Courtney Mustaphi,31/08/2015,,,10940,90,-24.5,Measured,,Muchoya Swamp,MC2,,,,,,"Jolly, D., Taylor, D., Marchant, R., Hamilton, A., Bonnefille, R., Buchet, G., & Riollet, G. (1997). Vegetation dynamics in central Africa since 18,000 yr BP: pollen records from the interlacustrine highlands of Burundi, Rwanda and western Uganda. Journal of Biogeography, 24(4), 492-512."
Pta-3576,,bulk sediment,,Geological,,-1.281767,29.811139,,2260,,,,,Colin Courtney Mustaphi,31/08/2015,,,11000,100,-25.3,Measured,,Muchoya Swamp,MC2,,,,,,"Jolly, D., Taylor, D., Marchant, R., Hamilton, A., Bonnefille, R., Buchet, G., & Riollet, G. (1997). Vegetation dynamics in central Africa since 18,000 yr BP: pollen records from the interlacustrine highlands of Burundi, Rwanda and western Uganda. Journal of Biogeography, 24(4), 492-512."
Pta-3637,,bulk sediment,,Geological,,-1.281767,29.811139,,2260,,,,,Colin Courtney Mustaphi,31/08/2015,,,11100,100,-25.6,Measured,,Muchoya Swamp,MC2,,,,,,"Jolly, D., Taylor, D., Marchant, R., Hamilton, A., Bonnefille, R., Buchet, G., & Riollet, G. (1997). Vegetation dynamics in central Africa since 18,000 yr BP: pollen records from the interlacustrine highlands of Burundi, Rwanda and western Uganda. Journal of Biogeography, 24(4), 492-512."
Pta-3530,,bulk sediment,,Geological,,-1.281767,29.811139,,2260,,,,,Colin Courtney Mustaphi,31/08/2015,,,11100,80,-21.7,Measured,,Muchoya Swamp,MC2,,,,,,"Jolly, D., Taylor, D., Marchant, R., Hamilton, A., Bonnefille, R., Buchet, G., & Riollet, G. (1997). Vegetation dynamics in central Africa since 18,000 yr BP: pollen records from the interlacustrine highlands of Burundi, Rwanda and western Uganda. Journal of Biogeography, 24(4), 492-512."
Pta-3577,,bulk sediment,,Geological,,-1.281767,29.811139,,2260,,,,,Colin Courtney Mustaphi,31/08/2015,,,13900,130,-26.2,Measured,,Muchoya Swamp,MC2,,,,,,"Jolly, D., Taylor, D., Marchant, R., Hamilton, A., Bonnefille, R., Buchet, G., & Riollet, G. (1997). Vegetation dynamics in central Africa since 18,000 yr BP: pollen records from the interlacustrine highlands of Burundi, Rwanda and western Uganda. Journal of Biogeography, 24(4), 492-512."
Pta-4198,,bulk sediment,,Geological,,-1.281767,29.811139,,2260,,,,,Colin Courtney Mustaphi,31/08/2015,,,17900,150,-19.3,Measured,,Muchoya Swamp,MC2,,,,,,"Jolly, D., Taylor, D., Marchant, R., Hamilton, A., Bonnefille, R., Buchet, G., & Riollet, G. (1997). Vegetation dynamics in central Africa since 18,000 yr BP: pollen records from the interlacustrine highlands of Burundi, Rwanda and western Uganda. Journal of Biogeography, 24(4), 492-512."
SRR-2962,,bulk sediment,,Geological,,-1.281767,29.811139,,2230,,,David Taylor,,Colin Courtney Mustaphi,02/11/2015,,,21450,160,-26.2,Measured,,Muchoya Swamp,MC2,,,,,,"Taylor DM (1990) Late Quaternary pollen records from two Ugandan mires: evidence for environmental change in the Rukiga Highlands of southwest Uganda. Palaeogeogr Palaeoclimatol Palaeoecol 80:283–300; Taylor, D. M. (1992). Pollen evidence from Muchoya Swamp, Rukiga Highlands (Uganda), for abrupt changes in vegetation during the last ca. 21,000 years. Bulletin de la Societe Geologique de France, 163(1), 77-82."
SRR-4750,,bulk sediment,,Geological,,0.047598,37.527363,,2350,,,,,Colin Courtney Mustaphi,03/09/2015,,,1760,45,-27,Estimated,,Sacred Lake,,,,,,,"Olago, D. O., Street-Perrott, F. A., Perrott, R. A., Ivanovich, M., & Harkness, D. D. (1999). Late Quaternary glacial-interglacial cycle of climatic and environmental change on Mount Kenya, Kenya. Journal of African Earth Sciences, 29(3), 593-618."
SRR-4751,,bulk sediment,,Geological,,0.047598,37.527363,,2350,,,,,Colin Courtney Mustaphi,03/09/2015,,,3770,45,-27,Estimated,,Sacred Lake,,,,,,,"Olago, D. O., Street-Perrott, F. A., Perrott, R. A., Ivanovich, M., & Harkness, D. D. (1999). Late Quaternary glacial-interglacial cycle of climatic and environmental change on Mount Kenya, Kenya. Journal of African Earth Sciences, 29(3), 593-618."
SRR-4752,,bulk sediment,,Geological,,0.047598,37.527363,,2350,,,,,Colin Courtney Mustaphi,03/09/2015,,,9690,65,-27,Estimated,,Sacred Lake,,,,,,,"Olago, D. O., Street-Perrott, F. A., Perrott, R. A., Ivanovich, M., & Harkness, D. D. (1999). Late Quaternary glacial-interglacial cycle of climatic and environmental change on Mount Kenya, Kenya. Journal of African Earth Sciences, 29(3), 593-618."
AA-9947,,bulk sediment,,Geological,,0.047598,37.527363,,2350,,,,,Colin Courtney Mustaphi,03/09/2015,,,10325,75,-27,Estimated,,Sacred Lake,,,,,,,"Olago, D. O., Street-Perrott, F. A., Perrott, R. A., Ivanovich, M., & Harkness, D. D. (1999). Late Quaternary glacial-interglacial cycle of climatic and environmental change on Mount Kenya, Kenya. Journal of African Earth Sciences, 29(3), 593-618."
AA-9948,,bulk sediment,,Geological,,0.047598,37.527363,,2350,,,,,Colin Courtney Mustaphi,03/09/2015,,,10740,80,-27,Estimated,,Sacred Lake,,,,,,,"Olago, D. O., Street-Perrott, F. A., Perrott, R. A., Ivanovich, M., & Harkness, D. D. (1999). Late Quaternary glacial-interglacial cycle of climatic and environmental change on Mount Kenya, Kenya. Journal of African Earth Sciences, 29(3), 593-618."
SRR-4753,,bulk sediment,,Geological,,0.047598,37.527363,,2350,,,,,Colin Courtney Mustaphi,03/09/2015,,,11630,65,-27,Estimated,,Sacred Lake,,,,,,,"Olago, D. O., Street-Perrott, F. A., Perrott, R. A., Ivanovich, M., & Harkness, D. D. (1999). Late Quaternary glacial-interglacial cycle of climatic and environmental change on Mount Kenya, Kenya. Journal of African Earth Sciences, 29(3), 593-618."
SRR-4754,,bulk sediment,,Geological,,0.047598,37.527363,,2350,,,,,Colin Courtney Mustaphi,03/09/2015,,,11840,70,-27,Estimated,,Sacred Lake,,,,,,,"Olago, D. O., Street-Perrott, F. A., Perrott, R. A., Ivanovich, M., & Harkness, D. D. (1999). Late Quaternary glacial-interglacial cycle of climatic and environmental change on Mount Kenya, Kenya. Journal of African Earth Sciences, 29(3), 593-618."
SRR-4755,,bulk sediment,,Geological,,0.047598,37.527363,,2350,,,,,Colin Courtney Mustaphi,03/09/2015,,,12605,50,-27,Estimated,,Sacred Lake,,,,,,,"Olago, D. O., Street-Perrott, F. A., Perrott, R. A., Ivanovich, M., & Harkness, D. D. (1999). Late Quaternary glacial-interglacial cycle of climatic and environmental change on Mount Kenya, Kenya. Journal of African Earth Sciences, 29(3), 593-618."
AA-9949,,bulk sediment,,Geological,,0.047598,37.527363,,2350,,,,,Colin Courtney Mustaphi,03/09/2015,,,12680,95,-27,Estimated,,Sacred Lake,,,,,,,"Olago, D. O., Street-Perrott, F. A., Perrott, R. A., Ivanovich, M., & Harkness, D. D. (1999). Late Quaternary glacial-interglacial cycle of climatic and environmental change on Mount Kenya, Kenya. Journal of African Earth Sciences, 29(3), 593-618."
SRR-4756,,bulk sediment,,Geological,,0.047598,37.527363,,2350,,,,,Colin Courtney Mustaphi,03/09/2015,,,13070,50,-27,Estimated,,Sacred Lake,,,,,,,"Olago, D. O., Street-Perrott, F. A., Perrott, R. A., Ivanovich, M., & Harkness, D. D. (1999). Late Quaternary glacial-interglacial cycle of climatic and environmental change on Mount Kenya, Kenya. Journal of African Earth Sciences, 29(3), 593-618."
SRR-4757,,bulk sediment,,Geological,,0.047598,37.527363,,2350,,,,,Colin Courtney Mustaphi,03/09/2015,,,13495,50,-27,Estimated,,Sacred Lake,,,,,,,"Olago, D. O., Street-Perrott, F. A., Perrott, R. A., Ivanovich, M., & Harkness, D. D. (1999). Late Quaternary glacial-interglacial cycle of climatic and environmental change on Mount Kenya, Kenya. Journal of African Earth Sciences, 29(3), 593-618."
SRR-4758,,bulk sediment,,Geological,,0.047598,37.527363,,2350,,,,,Colin Courtney Mustaphi,03/09/2015,,,14690,70,-27,Estimated,,Sacred Lake,,,,,,,"Olago, D. O., Street-Perrott, F. A., Perrott, R. A., Ivanovich, M., & Harkness, D. D. (1999). Late Quaternary glacial-interglacial cycle of climatic and environmental change on Mount Kenya, Kenya. Journal of African Earth Sciences, 29(3), 593-618."
SRR-4759,,bulk sediment,,Geological,,0.047598,37.527363,,2350,,,,,Colin Courtney Mustaphi,03/09/2015,,,15695,70,-27,Estimated,,Sacred Lake,,,,,,,"Olago, D. O., Street-Perrott, F. A., Perrott, R. A., Ivanovich, M., & Harkness, D. D. (1999). Late Quaternary glacial-interglacial cycle of climatic and environmental change on Mount Kenya, Kenya. Journal of African Earth Sciences, 29(3), 593-618."
SRR-4760,,bulk sediment,,Geological,,0.047598,37.527363,,2350,,,,,Colin Courtney Mustaphi,03/09/2015,,,20265,80,-27,Estimated,,Sacred Lake,,,,,,,"Olago, D. O., Street-Perrott, F. A., Perrott, R. A., Ivanovich, M., & Harkness, D. D. (1999). Late Quaternary glacial-interglacial cycle of climatic and environmental change on Mount Kenya, Kenya. Journal of African Earth Sciences, 29(3), 593-618."
SRR-4761,,bulk sediment,,Geological,,0.047598,37.527363,,2350,,,,,Colin Courtney Mustaphi,03/09/2015,,,30510,225,-27,Estimated,,Sacred Lake,,,,,,,"Olago, D. O., Street-Perrott, F. A., Perrott, R. A., Ivanovich, M., & Harkness, D. D. (1999). Late Quaternary glacial-interglacial cycle of climatic and environmental change on Mount Kenya, Kenya. Journal of African Earth Sciences, 29(3), 593-618."
SRR-4762,,bulk sediment,,Geological,,0.047598,37.527363,,2350,,,,,Colin Courtney Mustaphi,03/09/2015,,,37415,405,-27,Estimated,,Sacred Lake,,,,,,,"Olago, D. O., Street-Perrott, F. A., Perrott, R. A., Ivanovich, M., & Harkness, D. D. (1999). Late Quaternary glacial-interglacial cycle of climatic and environmental change on Mount Kenya, Kenya. Journal of African Earth Sciences, 29(3), 593-618."
SRR-4763,,bulk sediment,,Geological,,0.047598,37.527363,,2350,,,,,Colin Courtney Mustaphi,03/09/2015,,,40465,520,-27,Estimated,,Sacred Lake,,,,,,,"Olago, D. O., Street-Perrott, F. A., Perrott, R. A., Ivanovich, M., & Harkness, D. D. (1999). Late Quaternary glacial-interglacial cycle of climatic and environmental change on Mount Kenya, Kenya. Journal of African Earth Sciences, 29(3), 593-618."
SRR-4517,,bulk sediment,,Geological,,0.047598,37.527363,,2350,,,,,Colin Courtney Mustaphi,03/09/2015,,,3210,50,-27,Estimated,,Sacred Lake,,,,,,,"Olago, D. O., Street-Perrott, F. A., Perrott, R. A., Ivanovich, M., & Harkness, D. D. (1999). Late Quaternary glacial-interglacial cycle of climatic and environmental change on Mount Kenya, Kenya. Journal of African Earth Sciences, 29(3), 593-618."
SRR-4518,,bulk sediment,,Geological,,0.047598,37.527363,,2350,,,,,Colin Courtney Mustaphi,03/09/2015,,,9185,80,-27,Estimated,,Sacred Lake,,,,,,,"Olago, D. O., Street-Perrott, F. A., Perrott, R. A., Ivanovich, M., & Harkness, D. D. (1999). Late Quaternary glacial-interglacial cycle of climatic and environmental change on Mount Kenya, Kenya. Journal of African Earth Sciences, 29(3), 593-618."
SRR-4519,,bulk sediment,,Geological,,0.047598,37.527363,,2350,,,,,Colin Courtney Mustaphi,03/09/2015,,,10750,50,-27,Estimated,,Sacred Lake,,,,,,,"Olago, D. O., Street-Perrott, F. A., Perrott, R. A., Ivanovich, M., & Harkness, D. D. (1999). Late Quaternary glacial-interglacial cycle of climatic and environmental change on Mount Kenya, Kenya. Journal of African Earth Sciences, 29(3), 593-618."
SRR-4520,,bulk sediment,,Geological,,0.047598,37.527363,,2350,,,,,Colin Courtney Mustaphi,03/09/2015,,,11820,50,-27,Estimated,,Sacred Lake,,,,,,,"Olago, D. O., Street-Perrott, F. A., Perrott, R. A., Ivanovich, M., & Harkness, D. D. (1999). Late Quaternary glacial-interglacial cycle of climatic and environmental change on Mount Kenya, Kenya. Journal of African Earth Sciences, 29(3), 593-618."
SRR-4521,,bulk sediment,,Geological,,0.047598,37.527363,,2350,,,,,Colin Courtney Mustaphi,03/09/2015,,,12475,55,-27,Estimated,,Sacred Lake,,,,,,,"Olago, D. O., Street-Perrott, F. A., Perrott, R. A., Ivanovich, M., & Harkness, D. D. (1999). Late Quaternary glacial-interglacial cycle of climatic and environmental change on Mount Kenya, Kenya. Journal of African Earth Sciences, 29(3), 593-618."
SRR-4522,,bulk sediment,,Geological,,0.047598,37.527363,,2350,,,,,Colin Courtney Mustaphi,03/09/2015,,,14755,60,-27,Estimated,,Sacred Lake,,,,,,,"Olago, D. O., Street-Perrott, F. A., Perrott, R. A., Ivanovich, M., & Harkness, D. D. (1999). Late Quaternary glacial-interglacial cycle of climatic and environmental change on Mount Kenya, Kenya. Journal of African Earth Sciences, 29(3), 593-618."
SRR-4523,,bulk sediment,,Geological,,0.047598,37.527363,,2350,,,,,Colin Courtney Mustaphi,03/09/2015,,,17170,80,-27,Estimated,,Sacred Lake,,,,,,,"Olago, D. O., Street-Perrott, F. A., Perrott, R. A., Ivanovich, M., & Harkness, D. D. (1999). Late Quaternary glacial-interglacial cycle of climatic and environmental change on Mount Kenya, Kenya. Journal of African Earth Sciences, 29(3), 593-618."
SRR-4524,,bulk sediment,,Geological,,0.047598,37.527363,,2350,,,,,Colin Courtney Mustaphi,03/09/2015,,,23965,120,-27,Estimated,,Sacred Lake,,,,,,,"Olago, D. O., Street-Perrott, F. A., Perrott, R. A., Ivanovich, M., & Harkness, D. D. (1999). Late Quaternary glacial-interglacial cycle of climatic and environmental change on Mount Kenya, Kenya. Journal of African Earth Sciences, 29(3), 593-618."
SRR-4525,,bulk sediment,,Geological,,0.047598,37.527363,,2350,,,,,Colin Courtney Mustaphi,03/09/2015,,,28760,200,-27,Estimated,,Sacred Lake,,,,,,,"Olago, D. O., Street-Perrott, F. A., Perrott, R. A., Ivanovich, M., & Harkness, D. D. (1999). Late Quaternary glacial-interglacial cycle of climatic and environmental change on Mount Kenya, Kenya. Journal of African Earth Sciences, 29(3), 593-618."
SRR-4526,,bulk sediment,,Geological,,0.047598,37.527363,,2350,,,,,Colin Courtney Mustaphi,03/09/2015,,,29820,210,-27,Estimated,,Sacred Lake,,,,,,,"Olago, D. O., Street-Perrott, F. A., Perrott, R. A., Ivanovich, M., & Harkness, D. D. (1999). Late Quaternary glacial-interglacial cycle of climatic and environmental change on Mount Kenya, Kenya. Journal of African Earth Sciences, 29(3), 593-618."
SRR-4527,,bulk sediment,,Geological,,0.047598,37.527363,,2350,,,,,Colin Courtney Mustaphi,03/09/2015,,,38450,565,-27,Estimated,,Sacred Lake,,,,,,,"Olago, D. O., Street-Perrott, F. A., Perrott, R. A., Ivanovich, M., & Harkness, D. D. (1999). Late Quaternary glacial-interglacial cycle of climatic and environmental change on Mount Kenya, Kenya. Journal of African Earth Sciences, 29(3), 593-618."
SRR-4528,,bulk sediment,,Geological,,0.047598,37.527363,,2350,,,,,Colin Courtney Mustaphi,03/09/2015,,,38075,545,-27,Estimated,,Sacred Lake,,,,,,,"Olago, D. O., Street-Perrott, F. A., Perrott, R. A., Ivanovich, M., & Harkness, D. D. (1999). Late Quaternary glacial-interglacial cycle of climatic and environmental change on Mount Kenya, Kenya. Journal of African Earth Sciences, 29(3), 593-618."
